+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
|    | vid_name     |   tow |   vid_presence_precision |   vid_presence_recall |   vid_num_predicted |   vid_num_gt |   vid_mse |   true_positives |   false_positives |   false_negatives |   individual_recall |   proportion_saved_frames |   num_included_frames |   saved_frames |   num_instances |   num_detected |   vid_frames |   num_gt_frames |
| 18 | T18_REC_0013 |    18 |                     0.32 |                  0.78 |                   1 |           23 |       484 |              896 |              1884 |               252 |                1    |                      0.85 |                  2780 |          15253 |              23 |             23 |        18033 |            1148 |
| 19 | T18_REC_0014 |    18 |                     0.16 |                  0.71 |                   1 |           13 |       144 |              412 |              2116 |               171 |                1    |                      0.86 |                  2528 |          15505 |              13 |             13 |        18033 |             583 |
| 48 | T18_REC_0015 |    18 |                     0    |                  0    |                   1 |            0 |         1 |                0 |               948 |                 0 |                1    |                      0.93 |                   948 |          13465 |               0 |              0 |        14413 |               0 |
| 35 | T20_REC_0001 |    20 |                     0.08 |                  0.68 |                   1 |            5 |        16 |               88 |               955 |                41 |                1    |                      0.94 |                  1043 |          16990 |               5 |              5 |        18033 |             129 |
|  5 | T20_REC_0002 |    20 |                     0.04 |                  0.39 |                   1 |            6 |        25 |               78 |              1685 |               123 |                0.83 |                      0.9  |                  1763 |          16270 |               6 |              5 |        18033 |             201 |
| 14 | T20_REC_0003 |    20 |                     0.27 |                  0.62 |                   1 |           18 |       289 |              461 |              1233 |               282 |                1    |                      0.91 |                  1694 |          16339 |              18 |             18 |        18033 |             743 |
| 37 | T20_REC_0004 |    20 |                     0.42 |                  0.47 |                   1 |           19 |       324 |              858 |              1185 |               958 |                1    |                      0.89 |                  2043 |          15990 |              19 |             19 |        18033 |            1816 |
|  8 | T20_REC_0005 |    20 |                     0.28 |                  0.74 |                   1 |           23 |       484 |              767 |              1990 |               266 |                0.96 |                      0.85 |                  2757 |          15276 |              23 |             22 |        18033 |            1033 |
| 25 | T20_REC_0006 |    20 |                     0.04 |                  0.62 |                   1 |            5 |        16 |               76 |              1974 |                47 |                1    |                      0.89 |                  2050 |          15983 |               5 |              5 |        18033 |             123 |
| 47 | T20_REC_0007 |    20 |                     0.2  |                  0.59 |                   1 |           12 |       121 |              298 |              1172 |               204 |                1    |                      0.92 |                  1470 |          16563 |              12 |             12 |        18033 |             502 |
| 21 | T20_REC_0008 |    20 |                     0.14 |                  0.59 |                   1 |           16 |       225 |              462 |              2880 |               319 |                1    |                      0.81 |                  3342 |          14691 |              16 |             16 |        18033 |             781 |
|  6 | T20_REC_0009 |    20 |                     0.52 |                  0.43 |                   1 |           13 |       144 |              393 |               363 |               515 |                0.92 |                      0.96 |                   756 |          17277 |              13 |             12 |        18033 |             908 |
| 12 | T20_REC_0010 |    20 |                     0.44 |                  0.64 |                   1 |           13 |       144 |              471 |               599 |               264 |                1    |                      0.94 |                  1070 |          16963 |              13 |             13 |        18033 |             735 |
| 32 | T20_REC_0011 |    20 |                     0.61 |                  0.57 |                   1 |           15 |       196 |              656 |               424 |               493 |                1    |                      0.94 |                  1080 |          16953 |              15 |             15 |        18033 |            1149 |
| 51 | T20_REC_0012 |    20 |                     0.09 |                  0.67 |                   1 |           19 |       324 |              673 |              6863 |               328 |                1    |                      0.58 |                  7536 |          10497 |              19 |             19 |        18033 |            1001 |
| 39 | T20_REC_0013 |    20 |                     0.13 |                  0.81 |                   1 |           21 |       400 |              871 |              5802 |               204 |                1    |                      0.63 |                  6673 |          11360 |              21 |             21 |        18033 |            1075 |
|  0 | T20_REC_0014 |    20 |                     0.09 |                  0.82 |                   1 |           19 |       324 |              995 |              9779 |               216 |                1    |                      0.4  |                 10774 |           7259 |              19 |             19 |        18033 |            1211 |
| 31 | T20_REC_0015 |    20 |                     0.21 |                  0.84 |                   1 |           19 |       324 |             1475 |              5582 |               281 |                1    |                      0.61 |                  7057 |          10976 |              19 |             19 |        18033 |            1756 |
| 22 | T20_REC_0016 |    20 |                     0.32 |                  0.81 |                   1 |           24 |       529 |             1758 |              3751 |               403 |                1    |                      0.69 |                  5509 |          12524 |              24 |             24 |        18033 |            2161 |
| 13 | T20_REC_0017 |    20 |                     0.44 |                  0.84 |                   1 |           43 |      1764 |             3090 |              3901 |               608 |                1    |                      0.61 |                  6991 |          11042 |              43 |             43 |        18033 |            3698 |
| 38 | T20_REC_0018 |    20 |                     0.28 |                  0.78 |                   1 |           27 |       676 |             1186 |              3083 |               330 |                1    |                      0.76 |                  4269 |          13764 |              27 |             27 |        18033 |            1516 |
| 46 | T20_REC_0019 |    20 |                     0.34 |                  0.79 |                   1 |           29 |       784 |             1709 |              3311 |               443 |                1    |                      0.72 |                  5020 |          13013 |              29 |             29 |        18033 |            2152 |
|  3 | T20_REC_0020 |    20 |                     0.6  |                  0.84 |                   1 |           16 |       225 |             1403 |               920 |               276 |                1    |                      0.41 |                  2323 |           1625 |              16 |             16 |         3948 |            1679 |
+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
