+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
|    | vid_name     |   tow |   vid_presence_precision |   vid_presence_recall |   vid_num_predicted |   vid_num_gt |   vid_mse |   true_positives |   false_positives |   false_negatives |   individual_recall |   proportion_saved_frames |   num_included_frames |   saved_frames |   num_instances |   num_detected |   vid_frames |   num_gt_frames |
| 18 | T18_REC_0013 |    18 |                     0.6  |                  0.63 |                   1 |           23 |       484 |              725 |               484 |               423 |                1    |                      0.93 |                  1209 |          16824 |              23 |             23 |        18033 |            1148 |
| 19 | T18_REC_0014 |    18 |                     0.38 |                  0.63 |                   1 |           13 |       144 |              365 |               602 |               218 |                0.92 |                      0.95 |                   967 |          17066 |              13 |             12 |        18033 |             583 |
| 48 | T18_REC_0015 |    18 |                     0    |                  0    |                   1 |            0 |         1 |                0 |               525 |                 0 |                1    |                      0.96 |                   525 |          13888 |               0 |              0 |        14413 |               0 |
| 35 | T20_REC_0001 |    20 |                     0.25 |                  0.47 |                   1 |            5 |        16 |               60 |               184 |                69 |                0.8  |                      0.99 |                   244 |          17789 |               5 |              4 |        18033 |             129 |
|  5 | T20_REC_0002 |    20 |                     0.06 |                  0.12 |                   1 |            6 |        25 |               24 |               355 |               177 |                0.5  |                      0.98 |                   379 |          17654 |               6 |              3 |        18033 |             201 |
| 14 | T20_REC_0003 |    20 |                     0.53 |                  0.46 |                   1 |           18 |       289 |              339 |               303 |               404 |                0.89 |                      0.96 |                   642 |          17391 |              18 |             16 |        18033 |             743 |
| 37 | T20_REC_0004 |    20 |                     0.61 |                  0.29 |                   1 |           19 |       324 |              518 |               333 |              1298 |                0.89 |                      0.95 |                   851 |          17182 |              19 |             17 |        18033 |            1816 |
|  8 | T20_REC_0005 |    20 |                     0.34 |                  0.51 |                   1 |           23 |       484 |              530 |              1008 |               503 |                0.87 |                      0.91 |                  1538 |          16495 |              23 |             20 |        18033 |            1033 |
| 25 | T20_REC_0006 |    20 |                     0.09 |                  0.46 |                   1 |            5 |        16 |               56 |               592 |                67 |                1    |                      0.96 |                   648 |          17385 |               5 |              5 |        18033 |             123 |
| 47 | T20_REC_0007 |    20 |                     0.3  |                  0.43 |                   1 |           12 |       121 |              214 |               488 |               288 |                0.92 |                      0.96 |                   702 |          17331 |              12 |             11 |        18033 |             502 |
| 21 | T20_REC_0008 |    20 |                     0.14 |                  0.46 |                   1 |           16 |       225 |              357 |              2171 |               424 |                1    |                      0.86 |                  2528 |          15505 |              16 |             16 |        18033 |             781 |
|  6 | T20_REC_0009 |    20 |                     0.77 |                  0.35 |                   1 |           13 |       144 |              319 |                96 |               589 |                0.85 |                      0.98 |                   415 |          17618 |              13 |             11 |        18033 |             908 |
| 12 | T20_REC_0010 |    20 |                     0.72 |                  0.52 |                   1 |           13 |       144 |              384 |               151 |               351 |                1    |                      0.97 |                   535 |          17498 |              13 |             13 |        18033 |             735 |
| 32 | T20_REC_0011 |    20 |                     0.7  |                  0.51 |                   1 |           15 |       196 |              581 |               246 |               568 |                1    |                      0.95 |                   827 |          17206 |              15 |             15 |        18033 |            1149 |
| 51 | T20_REC_0012 |    20 |                     0.12 |                  0.56 |                   1 |           19 |       324 |              565 |              4315 |               436 |                1    |                      0.73 |                  4880 |          13153 |              19 |             19 |        18033 |            1001 |
| 39 | T20_REC_0013 |    20 |                     0.25 |                  0.62 |                   1 |           21 |       400 |              667 |              1949 |               408 |                1    |                      0.85 |                  2616 |          15417 |              21 |             21 |        18033 |            1075 |
|  0 | T20_REC_0014 |    20 |                     0.26 |                  0.59 |                   1 |           19 |       324 |              717 |              2005 |               494 |                1    |                      0.85 |                  2722 |          15311 |              19 |             19 |        18033 |            1211 |
| 31 | T20_REC_0015 |    20 |                     0.49 |                  0.65 |                   1 |           19 |       324 |             1135 |              1159 |               621 |                1    |                      0.87 |                  2294 |          15739 |              19 |             19 |        18033 |            1756 |
| 22 | T20_REC_0016 |    20 |                     0.5  |                  0.62 |                   1 |           24 |       529 |             1350 |              1377 |               811 |                0.96 |                      0.85 |                  2727 |          15306 |              24 |             23 |        18033 |            2161 |
| 13 | T20_REC_0017 |    20 |                     0.7  |                  0.68 |                   1 |           43 |      1764 |             2526 |              1058 |              1172 |                0.98 |                      0.8  |                  3584 |          14449 |              43 |             42 |        18033 |            3698 |
| 38 | T20_REC_0018 |    20 |                     0.48 |                  0.63 |                   1 |           27 |       676 |              949 |              1041 |               567 |                1    |                      0.89 |                  1990 |          16043 |              27 |             27 |        18033 |            1516 |
| 46 | T20_REC_0019 |    20 |                     0.49 |                  0.63 |                   1 |           29 |       784 |             1366 |              1446 |               786 |                0.97 |                      0.84 |                  2812 |          15221 |              29 |             28 |        18033 |            2152 |
|  3 | T20_REC_0020 |    20 |                     0.8  |                  0.68 |                   1 |           16 |       225 |             1144 |               292 |               535 |                1    |                      0.64 |                  1436 |           2512 |              16 |             16 |         3948 |            1679 |
+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
